FRAMES,First_FORCE_X,First_FORCE_Y,First_FORCE_Z,First_COFP_X,First_COFP_Y,First_COFP_Z,First_FREEMOMENT_Z,Second_FORCE_X,Second_FORCE_Y,Second_FORCE_Z,Second_COFP_X,Second_COFP_Y,Second_COFP_Z,Second_FREEMOMENT_Z,Heel_Strike1,Toe_Off1,Heel_Strike2
83,6.103556939104891e-31,-4.608680390423554e-31,-1.0883785354367227e-30,,,,-3.5574096321834956e-32,-1.3960557200505898e-46,-2.5086031983043104e-47,-1.9994830612371847e-45,,,,-5.564411960179624e-47,928,480,1760
84,9.495278988426323e-31,-7.173618521219187e-31,-1.6886837965059978e-30,,,,-5.551338240542519e-32,-1.5448312948865613e-46,-2.426478497633458e-47,-2.2021919986814785e-45,,,,-6.139706175095861e-47,928,480,1760
85,1.2982165014426625e-30,-9.81093931693056e-31,-2.3053531862789382e-30,,,,-7.603030425407101e-32,-1.631064845221907e-46,-2.1849811363604906e-47,-2.3139311419879927e-45,,,,-6.463340244606931e-47,928,480,1760
86,1.637646346358488e-30,-1.2378714509684475e-30,-2.905091898796608e-30,,,,-9.602355153061174e-32,-1.637549955766908e-46,-1.76753743452554e-47,-2.310482616642324e-45,,,,-6.467459106368348e-47,928,480,1760
87,1.945955039798802e-30,-1.4711651970396827e-30,-3.449160649887172e-30,,,,-1.1420957458401967e-31,-1.5484646168724096e-46,-1.164768649035386e-47,-2.169751069790376e-45,,,,-6.089964051965612e-47,928,480,1760
88,2.1988879799485882e-30,-1.6626346162072712e-30,-3.894612273493219e-30,,,,-1.291631990088418e-31,-1.3505747645831036e-46,-3.764383975859559e-48,-1.8734810361768535e-45,,,,-5.27929890814722e-47,928,480,1760
89,2.3707693865166604e-30,-1.792861605094307e-30,-4.196016517353516e-30,,,,-1.3937447686702398e-31,-1.0345177934272234e-46,5.86763488563377e-48,-1.409079723249686e-45,,,,-3.999539413627038e-47,928,480,1760
90,2.4357453447341255e-30,-1.8422900707988793e-30,-4.3076655642668714e-30,,,,-1.4332155630997853e-31,-5.961056317065247e-47,1.7017378253890703e-47,-7.714578450116345e-46,,,,-2.235543559970953e-47,928,480,1760
91,2.369278023913433e-30,-1.7923555402514e-30,-4.186222933720648e-30,,,,-1.3955836194093011e-31,-3.757411749008388e-48,2.9319395616482106e-47,3.52168470940947e-47,,,,2.1298333912395364e-50,928,480,1760
92,2.149851344688942e-30,-1.626774818401352e-30,-3.793744972555343e-30,,,,-1.268147687286996e-31,6.313055941256082e-47,4.226935639123229e-47,9.959739209919788e-46,,,,2.6728700058061394e-47,928,480,1760
93,1.7608281758522924e-30,-1.3329504236143795e-30,-3.1009684081567555e-30,,,,-1.0410576497270726e-31,1.3923460178183136e-46,5.522698436038301e-47,2.083834145191353e-45,,,,5.702597733872334e-47,928,480,1760
94,1.1923785821983577e-30,-9.034289778904702e-31,-2.0907210832444214e-30,,,,-7.084488987109934e-32,2.2183894140535786e-46,6.742759844818395e-47,3.259079939193101e-45,,,,8.981666343883383e-47,928,480,1760
95,4.433788637525978e-31,-3.373377645975625e-31,-7.612780473628193e-31,,,,-2.6956065819729333e-32,3.0731770284388156e-46,7.80032435606768e-47,4.469137789627341e-45,,,,1.2364459430563458e-46,928,480,1760
96,-4.768365555167032e-31,3.5828971437858154e-31,8.705460140827665e-31,,,,2.702309780155106e-32,3.911731146580183e-46,8.601401859903321e-47,5.649198055543685e-45,,,,1.5671037534916003e-46,928,480,1760
97,-1.5470024630574653e-30,1.1673990489800127e-30,2.7668019065937967e-30,,,,8.98542885959217e-32,4.681326650405447e-46,9.048972334512099e-47,6.723678266351366e-45,,,,1.869113307494736e-46,928,480,1760
